quantity,label,si_unit,required_conditions,vocabulary,vocabulary_version,external_term,external_iri,external_unit,relation,verified,verified_against,note
specific_heat_capacity,Specific heat capacity,J/(kg*K),"['soc_pct', 'temperature_c']",bpx,0.4,Specific heat capacity [J.K-1.kg-1],,J.K-1.kg-1,close,True,BPX 0.4,"BPX stores a single scalar. Measured specific heat is SOC-dependent (~6% between 50% and 100% SOC), so this schema requires soc_pct."
entropic_coefficient,Entropic coefficient,V/K,"['soc_pct', 'temperature_c']",bpx,0.4,Entropic change coefficient [V.K-1],,V.K-1,close,True,BPX 0.4,BPX places this per-particle; sign convention is not stated.
open_circuit_voltage,Open circuit voltage,V,"['soc_pct', 'temperature_c', 'direction', 'rest_before_s']",bpx,0.4,OCP [V],,V,related,True,BPX 0.4,BPX OCP is per-electrode (with separate lithiation/delithiation branches and a hysteresis decay constant); this quantity is full-cell OCV.
diffusion_coefficient,Li diffusion coefficient,m2/s,"['soc_pct', 'temperature_c']",bpx,0.4,Diffusivity [m2.s-1],,m2.s-1,close,True,BPX 0.4,
internal_resistance_dc,DC internal resistance,ohm,"['pulse_duration_s', 'pulse_current_a', 'soc_pct', 'temperature_c', 'direction']",bpx,0.4,,,,no_equivalent,True,BPX 0.4,"BPX is explicitly physics-model-only and has NO equivalent-circuit schema. There is no ECM standard anywhere in the field. bd.ecm_parameter_point is this project's proposal: R0 and RC branches as a lookup surface over (SOC, temperature, direction, pulse duration) with mandatory fit provenance."
capacity,Capacity,C,"['rate_value', 'rate_unit', 'temperature_c', 'voltage_lower_v']",battery_pass,1.2.0,io.BatteryPass.Performance#ratedCapacity,https://github.com/batterypass/BatteryPassDataModelio.BatteryPass.Performance#ratedCapacity,Ah,close,True,BatteryPass 1.2.0,Annex XIII rated capacity. Legally required from 18 Feb 2027.
energy,Energy,J,"['rate_value', 'rate_unit', 'temperature_c']",battery_pass,1.2.0,io.BatteryPass.Performance#ratedEnergy,https://github.com/batterypass/BatteryPassDataModelio.BatteryPass.Performance#ratedEnergy,Wh,close,True,BatteryPass 1.2.0,
usable_energy,Usable energy,J,"['boundary', 'dod_pct']",battery_pass,1.2.0,io.BatteryPass.Performance#usableBatteryEnergy,https://github.com/batterypass/BatteryPassDataModelio.BatteryPass.Performance#usableBatteryEnergy,Wh,close,True,BatteryPass 1.2.0,
nominal_voltage,Nominal voltage,V,[],battery_pass,1.2.0,io.BatteryPass.Performance#nominalVoltage,https://github.com/batterypass/BatteryPassDataModelio.BatteryPass.Performance#nominalVoltage,V,exact,True,BatteryPass 1.2.0,
round_trip_efficiency,Round-trip efficiency,1,"['boundary', 'rate_value', 'rate_unit', 'temperature_c']",battery_pass,1.2.0,io.BatteryPass.Performance#roundTripEnergyEfficiency,https://github.com/batterypass/BatteryPassDataModelio.BatteryPass.Performance#roundTripEnergyEfficiency,1,close,True,BatteryPass 1.2.0,The Regulation specifies round-trip efficiency at 50% SOC but does not fix the measurement boundary; condition_set.boundary and auxiliaries_included capture what the Regulation leaves open.
internal_resistance_dc,DC internal resistance,ohm,"['pulse_duration_s', 'pulse_current_a', 'soc_pct', 'temperature_c', 'direction']",battery_pass,1.2.0,io.BatteryPass.Performance#internalResistance,https://github.com/batterypass/BatteryPassDataModelio.BatteryPass.Performance#internalResistance,ohm,broader,True,BatteryPass 1.2.0,"The Regulation requires ""internal resistance (ohms)"" with NO method specified. Expect incomparable values across manufacturers unless the method is captured separately - which is what this schema does."
state_of_health,State of health,1,"['temperature_c', 'rate_value', 'rate_unit']",battery_pass,1.2.0,io.BatteryPass.Performance#stateOfHealth,https://github.com/batterypass/BatteryPassDataModelio.BatteryPass.Performance#stateOfHealth,1,broader,True,BatteryPass 1.2.0,"Capacity-based, resistance-based and blended SOH are different numbers."
cycle_life,Cycle life,1,"['temperature_c', 'dod_pct', 'rate_value', 'rate_unit']",battery_pass,1.2.0,io.BatteryPass.Performance#expectedLifetimeCycles,https://github.com/batterypass/BatteryPassDataModelio.BatteryPass.Performance#expectedLifetimeCycles,1,close,True,BatteryPass 1.2.0,
self_discharge_rate,Self-discharge rate,1,"['temperature_c', 'soc_pct', 'duration_s']",battery_pass,1.2.0,io.BatteryPass.Performance#selfDischargingRate,https://github.com/batterypass/BatteryPassDataModelio.BatteryPass.Performance#selfDischargingRate,1,broader,True,BatteryPass 1.2.0,Four incommensurable metrics are all called self-discharge; the Regulation does not say which.
carbon_footprint_per_kwh,Carbon footprint,1,[],battery_pass,1.2.0,io.BatteryPass.CarbonFootprint#carbonFootprintTotal,https://github.com/batterypass/BatteryPassDataModelio.BatteryPass.CarbonFootprint#carbonFootprintTotal,kg CO2e/kWh,exact,True,BatteryPass 1.2.0,
recycled_content_cobalt,"Recycled content, cobalt",1,[],battery_pass,1.2.0,io.BatteryPass.MaterialComposition#recycledContentCobalt,https://github.com/batterypass/BatteryPassDataModelio.BatteryPass.MaterialComposition#recycledContentCobalt,1,exact,True,BatteryPass 1.2.0,
recycled_content_lithium,"Recycled content, lithium",1,[],battery_pass,1.2.0,io.BatteryPass.MaterialComposition#recycledContentLithium,https://github.com/batterypass/BatteryPassDataModelio.BatteryPass.MaterialComposition#recycledContentLithium,1,exact,True,BatteryPass 1.2.0,
recycled_content_nickel,"Recycled content, nickel",1,[],battery_pass,1.2.0,io.BatteryPass.MaterialComposition#recycledContentNickel,https://github.com/batterypass/BatteryPassDataModelio.BatteryPass.MaterialComposition#recycledContentNickel,1,exact,True,BatteryPass 1.2.0,
mass,Mass,kg,[],battery_pass,1.2.0,io.BatteryPass.GeneralProductInformation#batteryWeight,https://github.com/batterypass/BatteryPassDataModelio.BatteryPass.GeneralProductInformation#batteryWeight,kg,close,True,BatteryPass 1.2.0,"Mass basis (with or without wrap, terminals, coolant) is unstated in the Regulation and varies between manufacturers."
capacity,Capacity,C,"['rate_value', 'rate_unit', 'temperature_c', 'voltage_lower_v']",emmo_electrochemistry,0.34.0,Capacity,https://w3id.org/emmo/domain/electrochemistry#Capacity,,broader,False,,IRI resolved at build time from electrochemistry.ttl.
open_circuit_voltage,Open circuit voltage,V,"['soc_pct', 'temperature_c', 'direction', 'rest_before_s']",emmo_electrochemistry,0.34.0,OpenCircuitVoltage,https://w3id.org/emmo/domain/electrochemistry#OpenCircuitVoltage,,close,False,,
cycle_life,Cycle life,1,"['temperature_c', 'dod_pct', 'rate_value', 'rate_unit']",emmo_battery,0.20.0,ServiceLife,https://w3id.org/emmo/domain/battery#ServiceLife,,related,False,,
absolute_max_voltage,Absolute maximum voltage,V,[],emmo_battery,0.20.0,UpperVoltageLimit,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_6dcd5baf_58cd_43f5_a692_51508e036c88,,close,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
absolute_min_voltage,Absolute minimum voltage,V,[],emmo_battery,0.20.0,VoltageLimit,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_5ebeea80_af22_456b_9087_78c2a8465c58,,broader,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
area_specific_impedance,Area specific impedance,ohm*m2,"['pulse_duration_s', 'soc_pct', 'temperature_c', 'area_cm2', 'area_kind']",emmo_battery,0.20.0,ElectricImpedance,https://w3id.org/emmo#EMMO_79a02de5_b884_4eab_bc18_f67997d597a2,,broader,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
areal_capacity,Areal capacity,C/m2,"['rate_value', 'rate_unit', 'area_kind']",emmo_battery,0.20.0,AreicCapacity,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_bcb33f7e_5573_4bc2_b636_4ea313a9dd3a,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
calendar_life,Calendar life,s,"['temperature_c', 'soc_pct']",emmo_battery,0.20.0,CalendarLife,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_743c71a3_b80c_42e3_92fa_13a67b8167df,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
capacity,Capacity,C,"['rate_value', 'rate_unit', 'temperature_c', 'voltage_lower_v']",emmo_battery,0.20.0,Capacity,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_791c1915_a791_4450_acd8_7f94764743b5,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
capacity_retention,Capacity retention,1,"['cycle_index', 'temperature_c', 'rate_value', 'rate_unit']",emmo_battery,0.20.0,RetainedCapacity,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_b8d4042d_329a_450f_9088_2fc0e16a8667,,close,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,Ours is a fraction of the reference capacity; EMMO's is the capacity itself.
charge_cutoff_voltage,Charge cutoff voltage,V,[],emmo_battery,0.20.0,UpperVoltageLimit,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_6dcd5baf_58cd_43f5_a692_51508e036c88,,close,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,"EMMO's limit is a window bound; ours is the charge termination voltage, which is the same value on a datasheet."
charge_transfer_resistance,Charge transfer resistance,ohm,"['soc_pct', 'temperature_c']",emmo_battery,0.20.0,ElectricResistance,https://w3id.org/emmo#EMMO_e88f75d6_9a17_4cfc_bdf7_43d7cea5a9a1,,broader,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
coulombic_efficiency,Coulombic efficiency,1,"['rate_value', 'rate_unit', 'temperature_c', 'cycle_index']",emmo_battery,0.20.0,CoulombicEfficiency,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_a5962e05_466d_46a4_8951_bea59d7326e5,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
current,Current,A,[],emmo_battery,0.20.0,ElectricCurrent,https://w3id.org/emmo#EMMO_c995ae70_3b84_4ebb_bcfc_69e6a281bb88,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
cv_cutoff_current,CV termination current,A,[],emmo_battery,0.20.0,CurrentLimit,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_74de2c33_84fc_4c2f_afe1_56d169149114,,related,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
cycle_life,Cycle life,1,"['temperature_c', 'dod_pct', 'rate_value', 'rate_unit']",emmo_battery,0.20.0,CycleLife,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_ae782b14_88ce_4cdd_9418_12aca00be937,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
cycle_number,Cycle number,1,[],emmo_battery,0.20.0,CycleIndex,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_5766a819_c319_48ba_ab9a_ce3bd8fedee8,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
diameter,Diameter,m,[],emmo_battery,0.20.0,Diameter,https://w3id.org/emmo#EMMO_c1c8ac3c_8a1c_4777_8e0b_14c1f9f9b0c6,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
diffusion_coefficient,Li diffusion coefficient,m2/s,"['soc_pct', 'temperature_c']",emmo_battery,0.20.0,DiffusionCoefficient,https://w3id.org/emmo#EMMO_931a725b_926d_4f60_8955_61fe17fce98b,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
discharge_cutoff_voltage,Discharge cutoff voltage,V,[],emmo_battery,0.20.0,VoltageLimit,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_5ebeea80_af22_456b_9087_78c2a8465c58,,broader,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,No lower-limit class in the published ontology.
displacement,Displacement,m,[],emmo_battery,0.20.0,Displacement,https://w3id.org/emmo#EMMO_4024a7f8_2991_4d80_bcc9_63705aa0c750,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
dqdv,dQ/dV,C/V,[],emmo_battery,0.20.0,DifferentialCapacity,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_10104499_6580_4867_9c5d_b9882c89c2f7,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
electrode_area,Electrode area,m2,[],emmo_battery,0.20.0,Area,https://w3id.org/emmo#EMMO_96f39f77_44dc_491b_8fa7_30d887fe0890,,broader,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,EMMO has no electrode-area quantity; the area_kind condition carries which area is meant.
energy,Energy,J,"['rate_value', 'rate_unit', 'temperature_c']",emmo_battery,0.20.0,Energy,https://w3id.org/emmo#EMMO_31ec09ba_1713_42cb_83c7_b38bf6f9ced2,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
energy_density,Energy density,J/m3,"['rate_value', 'rate_unit', 'temperature_c']",emmo_battery,0.20.0,EnergyDensity,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_4aa1b96e_44a0_4b1a_a0ac_723d0223d80b,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
energy_efficiency,Energy efficiency,1,"['rate_value', 'rate_unit', 'temperature_c']",emmo_battery,0.20.0,EnergyEfficiency,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_79198264_cdf5_4fc3_8bcf_e5140a52547a,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
entropic_coefficient,Entropic coefficient,V/K,"['soc_pct', 'temperature_c']",emmo_battery,0.20.0,TemperatureCoefficientOfTheOpenCircuitVoltage,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_3bb5ae23_59fa_4bc7_9495_803eb6719f28,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
expansion_force,Expansion force,N,"['soc_pct', 'constraint_mode']",emmo_battery,0.20.0,Force,https://w3id.org/emmo#EMMO_1f087811_06cb_42d5_90fb_25d0e7e068ef,,broader,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
first_cycle_efficiency,First-cycle coulombic efficiency,1,"['rate_value', 'rate_unit', 'temperature_c']",emmo_battery,0.20.0,InitialCoulombicEfficiency,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_469b9516_a96d_4aa2_b8e5_05ae982e2084,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
force,Force,N,[],emmo_battery,0.20.0,Force,https://w3id.org/emmo#EMMO_1f087811_06cb_42d5_90fb_25d0e7e068ef,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
frequency,Frequency,Hz,[],emmo_battery,0.20.0,Frequency,https://w3id.org/emmo#EMMO_852b4ab8_fc29_4749_a8c7_b92d4fca7d5a,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
heat_generation_rate,Heat generation rate,W,"['rate_value', 'rate_unit', 'soc_pct', 'temperature_c']",emmo_battery,0.20.0,HeatFlowRate,https://w3id.org/emmo#EMMO_91a99750_7914_42be_9fe5_b82c59183450,,close,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
height,Height,m,[],emmo_battery,0.20.0,Height,https://w3id.org/emmo#EMMO_08bcf1d6_e719_46c8_bb21_24bc9bf34dba,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
impedance_imag,Im(Z),ohm,[],emmo_battery,0.20.0,ImaginaryElectricImpedance,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_0089729b_5890_4c15_aa09_1244d41f8626,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
impedance_real,Re(Z),ohm,[],emmo_battery,0.20.0,RealElectricImpedance,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_abf986d2_90d5_4746_b42b_89dc7cc1bf0f,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
intensity,Intensity,1,[],emmo_battery,0.20.0,Intensity,https://w3id.org/emmo#emmo_fd2aa864_eef7_4c3d_8243_9ea832d9df3e,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
internal_resistance_ac,AC internal resistance,ohm,"['frequency_hz', 'soc_pct', 'temperature_c']",emmo_battery,0.20.0,ACInternalResistance,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_964cd426_f3cf_4a52_8c5d_0490cf48edb5,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
internal_resistance_dc,DC internal resistance,ohm,"['pulse_duration_s', 'pulse_current_a', 'soc_pct', 'temperature_c', 'direction']",emmo_battery,0.20.0,DCInternalResistance,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_7b3eb826_b968_493a_8396_cc3a5f09ecb3,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
leakage_current,Leakage current,A,"['temperature_c', 'soc_pct']",emmo_battery,0.20.0,Leakage,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_c55ec02c_b727_4df1_97ce_91d7bb5d5e91,,related,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
length,Length,m,[],emmo_battery,0.20.0,Length,https://w3id.org/emmo#EMMO_cd2cd0de_e0cc_4ef1_b27e_2e88db027bac,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
mass,Mass,kg,[],emmo_battery,0.20.0,Mass,https://w3id.org/emmo#EMMO_ed4af7ae_63a2_497e_bb88_2309619ea405,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
max_continuous_charge_current,Max continuous charge current,A,['temperature_c'],emmo_battery,0.20.0,MaximumContinuousChargingCurrent,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_39d8a6ee_cd55_4855_8b5b_d42bef95ac78,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
max_continuous_discharge_current,Max continuous discharge current,A,['temperature_c'],emmo_battery,0.20.0,MaximumContinuousDischargingCurrent,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_ba7ac581_0e13_4815_b888_013c378932f5,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
max_pulse_discharge_current,Max pulse discharge current,A,"['pulse_duration_s', 'temperature_c']",emmo_battery,0.20.0,MaximumPulseDischargingCurrent,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_3e54f9e3_a31d_4821_9bfb_ef953a42c35b,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
max_runaway_temperature,Peak runaway temperature,K,['soc_pct'],emmo_battery,0.20.0,ThermalRunaway,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_04f28ce3_251d_429e_aa85_ab3eb45bbcd2,,related,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
nominal_voltage,Nominal voltage,V,[],emmo_battery,0.20.0,NominalVoltage,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_639b844a_e801_436b_985d_28926129ead6,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
ohmic_resistance,Ohmic resistance (EIS),ohm,"['soc_pct', 'temperature_c']",emmo_battery,0.20.0,ElectricResistance,https://w3id.org/emmo#EMMO_e88f75d6_9a17_4cfc_bdf7_43d7cea5a9a1,,broader,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,The high-frequency real-axis intercept; EMMO has no dedicated class.
open_circuit_voltage,Open circuit voltage,V,"['soc_pct', 'temperature_c', 'direction', 'rest_before_s']",emmo_battery,0.20.0,OpenCircuitVoltage,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_9c657fdc_b9d3_4964_907c_f9a6e8c5f52b,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
operating_temperature_max,Maximum operating temperature,K,"['temperature_reference', 'direction']",emmo_battery,0.20.0,MaximumOperatingTemperature,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_e999bd7d_93ad_47fb_8d8d_dd667e4ef553,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
operating_temperature_min,Minimum operating temperature,K,"['temperature_reference', 'direction']",emmo_battery,0.20.0,MinimumOperatingTemperature,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_08a73f4b_3242_4356_af24_68ba0bf66d51,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
peak_power,Peak power,W,"['pulse_duration_s', 'soc_pct', 'temperature_c', 'boundary']",emmo_battery,0.20.0,MaximumPower,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_4e6c4e9d_64cb_4c24_a0f3_5b4146ebbeb0,,close,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
power,Power,W,[],emmo_battery,0.20.0,Power,https://w3id.org/emmo#EMMO_09b9021b_f97b_43eb_b83d_0a764b472bc2,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
pressure,Pressure,Pa,[],emmo_battery,0.20.0,Pressure,https://w3id.org/emmo#EMMO_50a44256_9dc5_434b_bad4_74a4d9a29989,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
rated_power,Rated power,W,"['temperature_c', 'boundary']",emmo_battery,0.20.0,Power,https://w3id.org/emmo#EMMO_09b9021b_f97b_43eb_b83d_0a764b472bc2,,broader,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
relaxation_time,Relaxation time,s,[],emmo_battery,0.20.0,RelaxationTime,https://w3id.org/emmo#EMMO_26c6f1b3_c33f_4804_a3e8_3c5c931582b3,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
round_trip_efficiency,Round-trip efficiency,1,"['boundary', 'rate_value', 'rate_unit', 'temperature_c']",emmo_battery,0.20.0,RoundTripEnergyEfficiency,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_c413d29a_b814_4d88_8db0_0fd0171cff11,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
runaway_onset_temperature,Thermal runaway onset temperature,K,['soc_pct'],emmo_battery,0.20.0,ThermalRunaway,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_04f28ce3_251d_429e_aa85_ab3eb45bbcd2,,related,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,"EMMO models the process, not the onset temperature."
self_discharge_rate,Self-discharge rate,1,"['temperature_c', 'soc_pct', 'duration_s']",emmo_battery,0.20.0,SelfDischargeRate,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_c3e97d58_1854_4c23_bb42_d2972172865e,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
service_life_hours,Service life,s,"['load_value', 'load_unit', 'duty_schedule', 'cutoff_voltage_v', 'temperature_c']",emmo_battery,0.20.0,ServiceLife,https://w3id.org/emmo/domain/battery#battery_be5d1b4f_5579_4702_9dbb_6c15e577e8dc,,close,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,"Service life against a stated load, schedule and cutoff; EMMO's term does not carry the load."
specific_capacity,Specific capacity,C/kg,"['rate_value', 'rate_unit', 'temperature_c', 'voltage_lower_v']",emmo_battery,0.20.0,SpecificCapacity,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_1e3dc60d_dd6b_47d6_8161_70004fc5ee30,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
specific_energy,Specific energy,J/kg,"['rate_value', 'rate_unit', 'temperature_c']",emmo_battery,0.20.0,SpecificEnergy,https://w3id.org/emmo#EMMO_e218c625_6a39_47a9_8d08_a2ef41c152a9,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
specific_heat_capacity,Specific heat capacity,J/(kg*K),"['soc_pct', 'temperature_c']",emmo_battery,0.20.0,SpecificHeatCapacity,https://w3id.org/emmo#EMMO_b4f4ed28_d24c_4a00_9583_62ab839abeca,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
specific_power,Specific power,W/kg,"['temperature_c', 'soc_pct', 'pulse_duration_s']",emmo_battery,0.20.0,SpecificPower,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_c762a928_5a74_46fd_9929_4ac2d7a3a8d7,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
